apex,kanyar belsõ csúcsa
armco,pályaszéli korlát
backmarker,sereghajtó versenyzõ
chequered flag,kockás zászló
chicane,sikán
circuit,pálya
cockpit,pilótafülke
compound,(gumi)keverék
complex,kanyarkombináció, kanyargós rész
corner,kanyar
debris,törmelék, autó darabjai
downforce,leszorítóerõ
drive-through penalty,áthajtásos büntetés
driver line-up,a csapat pilótái [pilóta-felállás]
entrance,kanyarbemenet
exit, kanyarkimenet / kigyorsítás
flat out,teligázzal
flat-spot,"kockásra" fékez
formation lap,felvezetõ kör
free practice,szabadedzés
gravel (trap),kavicságy
getaway,elrajtolás
gear,sebességfokozat
grid,rajtrács, [átvitt értelemben:] mezõny
grid slot,rajtpozíció
grip,tapadás, úttartás
handling,vezethetõség
in-lap,levezetõ kör
kerb,rázókõ
lap,kör / leköröz
layout,kialakítás [pályáé]
left hander,balkanyar
lift,leveszi a lábát a gázról
livery,karosszéria-mintázat
lock up,blokkol [kereket]
lollipop,"nyalóka"
lunge,beszúrás [autóé]
oversteer,túlkormányzottság
marshal,pályabíró
one-two,kettõs gyõzelem
out-lap,felvezetõ kör
package,[autóösszetevõk kombinációja]
parade lap,felvezetõ kör
pit,kiáll a boxba
pit(lane),boxutca
pit board,boxutcából kilógatott tájékoztató tábla
pitstop,boxkiállás
podium finish,dobogós helyezés
polesitter,elsõ rajthelyrõl induló
procession,elõzések nélküli verseny [felvonulás]
uncture,defekt
qualifying session,idõmérõ edzés
ualy,idõmérõ